All,FB,MS,Amazon,NVIDIA,Adobe,Uber,Apple,Google,Vmware,Airbnb
1,1,1,1,1,1,1,1,1,1,1
2,2,2,2,2,2,2,2,2,2,2
3,3,3,3,22,3,3,3,3,3,3
4,4,4,4,33,4,4,4,4,4,4
5,5,5,5,42,5,5,5,5,5,5
6,6,6,6,48,6,7,6,6,9,7
7,7,7,7,53,7,8,7,7,10,9
8,8,8,8,97,8,10,8,8,15,10
9,9,9,9,146,9,11,9,9,17,11
10,10,10,10,151,10,12,10,10,20,12
11,11,11,11,200,11,13,11,11,21,14
12,12,12,12,206,12,15,12,12,23,15
13,13,13,13,415,13,16,13,13,25,17
14,14,14,14,,14,17,14,14,26,20
15,15,15,15,,15,20,15,15,33,21
16,17,16,16,,16,21,16,16,37,23
17,18,17,17,,18,22,17,17,39,38
18,20,18,18,,19,23,18,18,46,39
19,21,20,20,,20,24,19,19,47,41
20,22,21,21,,21,26,20,20,49,42
21,23,22,22,,22,31,21,21,50,49
22,24,23,23,,23,32,22,22,56,68
23,25,24,24,,24,33,23,23,62,75
24,31,25,25,,26,34,25,24,75,76
25,32,31,31,,29,36,26,25,76,108
26,33,32,32,,30,37,29,26,85,127
28,34,33,33,,31,39,30,28,88,136
29,36,34,34,,32,41,31,29,93,160
30,37,36,37,,33,42,32,30,98,166
31,39,37,39,,35,43,33,31,102,190
32,41,39,41,,36,44,34,32,108,198
33,42,41,42,,37,45,36,33,109,202
34,43,42,43,,38,46,39,34,116,211
36,44,43,44,,41,49,41,36,121,212
37,45,44,45,,42,50,42,37,122,215
38,46,45,46,,44,53,43,38,141,217
39,48,46,48,,45,54,45,39,146,219
41,49,48,49,,46,56,46,41,148,220
42,50,49,50,,47,57,48,42,152,221
43,51,50,51,,48,62,49,43,153,224
44,52,51,53,,49,64,50,44,191,227
45,53,53,54,,50,68,53,45,200,236
46,54,54,56,,53,69,54,46,206,251
48,56,56,57,,54,70,56,48,215,269
49,57,57,64,,56,75,57,49,221,273
50,65,64,67,,59,76,64,50,234,291
51,67,65,68,,62,78,65,51,237,299
